"Team","Wins","Losses","Distribution"
"Nevada","7","6","0.00701452878247521"
"Purdue","6","7","0.00690894520237709"
"Ball State","9","4","0.00682551338569577"
"Southern Methodist","7","6","0.00669951411391595"
"Troy","5","7","0.00661158022210367"
"Washington State","3","9","0.00654687577217974"
"Middle Tennessee State","8","4","0.00649544915007761"
"Auburn","3","9","0.00648862167077357"
"Navy","8","5","0.0064752849568355"
"Bowling Green State","8","5","0.00641623451073065"
"Minnesota","6","7","0.00639872288099664"
"Kansas","1","11","0.00638740873065392"
"Rice","7","6","0.00630332182279228"
"South Florida","3","9","0.00627242242769107"
"Indiana","4","8","0.00626542869897482"
"North Texas","4","8","0.00626172563437149"
"Connecticut","5","7","0.00623758513598187"
"Air Force","6","7","0.00617278343205462"
"Duke","6","7","0.00613143393399564"
"Maryland","4","8","0.0060656704452425"
"New Mexico","4","9","0.00606531949494745"
"Virginia","4","8","0.00605503561516673"
"Kentucky","2","10","0.00603583728288581"
"Wyoming","4","8","0.00598542479253232"
"Florida Atlantic","3","9","0.00596199442016073"
"East Carolina","8","5","0.00594972977250257"
"Ohio","9","4","0.00585573286866899"
"Florida International","3","9","0.00582381087331404"
"Boston College","2","10","0.00578476016537102"
"Nevada-Las Vegas","2","11","0.00576849923139285"
"Marshall","5","7","0.00574895777535788"
"Houston","5","7","0.00574199638883885"
"Texas-El Paso","3","9","0.00572530193638659"
"Colorado State","4","8","0.00572384626531853"
"Texas State","4","8","0.00557645970013488"
"Western Michigan","4","8","0.00553901301630307"
"South Alabama","2","11","0.00552006990249107"
"Texas-San Antonio","8","4","0.00544715415683194"
"Buffalo","4","8","0.00532365440714313"
"Wake Forest","5","7","0.00530787405407189"
"Memphis","4","8","0.00530744737522507"
"Temple","4","7","0.00524998235456041"
"Central Michigan","7","6","0.00522903595882959"
"Army","2","10","0.00519552396894817"
"Illinois","2","10","0.00507968164052902"
"Alabama-Birmingham","3","9","0.0050153168762681"
"Miami (OH)","4","8","0.00478984788848273"
"Hawaii","3","9","0.0047478273421335"
"Eastern Michigan","2","10","0.00471877147555294"
"Akron","1","11","0.00468652545311089"
"Colorado","1","11","0.00464708532219528"
"Southern Mississippi","0","12","0.00461694757566327"
"Tulane","2","10","0.00460822914652661"
"Idaho","1","11","0.00415079098280037"
"New Mexico State","1","11","0.00405611103807077"
"Massachusetts","1","11","0.0035256579592048"
"Sam Houston State","0","2","0.00131790262201261"
"Northern Iowa","0","2","0.00129359497700378"
"Stony Brook","1","1","0.00127599369272253"
"Towson","0","2","0.00113391033561718"
"Eastern Washington","1","1","0.00108226918052981"
"McNeese State","1","1","0.00107329255063938"
"Youngstown State","1","0","0.00103307296582793"
"Jacksonville State","0","2","0.00101629229901374"
"Weber State","0","2","0.000941420158137902"
"Tennessee-Martin","1","1","0.000929321291739062"
"Southern Utah","0","2","0.000887570438358509"
"Northwestern State","0","2","0.000863042332420792"
"Missouri State","0","2","0.000860182026339939"
"Nicholls State","0","3","0.000803875025970139"
"Western Carolina","0","2","0.000743795234595132"
"Northern Arizona","1","1","0.000718050387652605"
"North Dakota State","1","0","0.000711759840089314"
"Wofford","0","1","0.000680213871501452"
"North Dakota","0","1","0.000637027683766586"
"Stephen F. Austin","0","2","0.000612529912056796"
"Illinois State","1","0","0.000612322084539579"
"South Carolina State","0","2","0.000595790720381709"
"Sacramento State","1","1","0.000594488932395306"
"Austin Peay","0","2","0.000591788156414142"
"Georgia State","0","2","0.000568913517458904"
"Cal Poly","1","0","0.000564228496864588"
"Delaware State","0","1","0.000559793618413963"
"Georgia Southern","0","1","0.00054708161266886"
"William & Mary","0","1","0.000536389986406483"
"Coastal Carolina","0","1","0.000522799019338555"
"Wagner","0","1","0.000494578494359044"
"Idaho State","0","2","0.000492603143029399"
"Central Arkansas","0","1","0.000488869533196697"
"Indiana State","0","1","0.00048756920432994"
"Tennessee Tech","0","1","0.000472936411714896"
"Savannah State","0","2","0.000449966885017251"
"Liberty","0","1","0.000449797462924027"
"Presbyterian","0","2","0.000436105559283935"
"Lamar","0","2","0.00042919974924265"
"South Dakota State","0","1","0.000428194493047558"
"Furman","0","1","0.000422109559562684"
"Howard","0","1","0.000405353043098253"
"California-Davis","0","1","0.000403933440943091"
"Southeastern Louisiana","0","2","0.000401242670879282"
"Western Illinois","0","1","0.000399643620883055"
"Fordham","0","1","0.000398092755795957"
"Morgan State","0","2","0.000395741288458634"
"South Dakota","0","1","0.000395464408803776"
"James Madison","0","1","0.000394106933747465"
"Texas A&M-Commerce","0","1","0.000389263984749876"
"Southeast Missouri State","0","1","0.000373676843931492"
"Bethune-Cookman","0","1","0.000371136214341167"
"Chattanooga","0","1","0.000362228455446199"
"Appalachian State","0","1","0.000336350267120974"
"Florida A&M","0","1","0.000330979494929864"
"Richmond","0","1","0.00032802412004164"
"Portland State","0","1","0.000325509750578359"
"Texas Southern","0","1","0.000318218133321014"
"Northern Colorado","0","1","0.000308415439539022"
"Southern Illinois","0","1","0.000307703639551096"
"Gardner-Webb","0","1","0.000293913794005186"
"Jackson State","0","1","0.000282712852359353"
"Citadel","0","1","0.000282123380376351"
"Samford","0","1","0.000281680962143492"
"Maine","0","1","0.00026996367409906"
"Villanova","0","1","0.000267279947160656"
"Grambling State","0","1","0.000262892129869181"
"New Hampshire","0","1","0.000262782777353527"
"Virginia Military Institute","0","1","0.000260321328695215"
"Eastern Illinois","0","1","0.000258495125470515"
"Norfolk State","0","1","0.000256355736904611"
"Eastern Kentucky","0","1","0.000255065487061306"
"North Carolina Central","0","1","0.000251805753788546"
"Rhode Island","0","1","0.000247187006109989"
"Alabama A&M","0","1","0.000229555099071776"
"Alcorn State","0","1","0.000228868244037726"
"Murray State","0","1","0.00022543759855916"
"Southern","0","1","0.000193898004013535"
"Elon","0","1","0.000185983453487714"
"Charleston Southern","0","1","0.000179709479364285"
"Northwestern Oklahoma State","0","1","0.0001590851325137"
